Sp.Scien.jetz;Sp.Eng.jetz;Sp.Scien.hbw;Sp.Eng.hbw;Match_jetz_birdlife;Order;strategy_3;distance_4;distance_quanti_RES0;distance_quanti_ALL
Calidris_mauri;Western-Sandpiper;Calidris_mauri;Western-Sandpiper;Calidris_mauri;CHARADRIIFORMES;strict_mig;long;4788,692947;4788,692947
Calidris_melanotos;Pectoral-Sandpiper;Calidris_melanotos;Pectoral-Sandpiper;Calidris_melanotos;CHARADRIIFORMES;strict_mig;long;11184,21524;11184,21524
Calidris_minuta;Little-Stint;Calidris_minuta;Little-Stint;Calidris_minuta;CHARADRIIFORMES;strict_mig;long;6778,404122;6778,404122
Calidris_minutilla;Least-Sandpiper;Calidris_minutilla;Least-Sandpiper;Calidris_minutilla;CHARADRIIFORMES;strict_mig;long;4057,256915;4057,256915
Calidris_ptilocnemis;Rock-Sandpiper;Calidris_ptilocnemis;Rock-Sandpiper;Calidris_ptilocnemis;CHARADRIIFORMES;strict_mig;short;1069,969406;1069,969406
Calidris_pusilla;Semipalmated-Sandpiper;Calidris_pusilla;Semipalmated-Sandpiper;Calidris_pusilla;CHARADRIIFORMES;strict_mig;long;5444,203743;5444,203743
Calidris_ruficollis;Red-necked-Stint;Calidris_ruficollis;Red-necked-Stint;Calidris_ruficollis;CHARADRIIFORMES;strict_mig;long;7302,727957;7302,727957
Calidris_subminuta;Long-toed-Stint;Calidris_subminuta;Long-toed-Stint;Calidris_subminuta;CHARADRIIFORMES;strict_mig;long;5255,114233;5255,114233
Calidris_temminckii;Temmincks-Stint;Calidris_temminckii;Temmincks-Stint;Calidris_temminckii;CHARADRIIFORMES;strict_mig;long;6009,641698;6009,641698
Calidris_tenuirostris;Great-Knot;Calidris_tenuirostris;Great-Knot;Calidris_tenuirostris;CHARADRIIFORMES;strict_mig;long;7468,475543;7468,475543
Caliechthrus_leucolophus;White-crowned-Koel;Caliechthrus_leucolophus;White-crowned-Cuckoo;Caliechthrus_leucolophus;CUCULIFORMES;resident;resident;0;240,7479813
Callacanthis_burtoni;Spectacled-Finch;Callacanthis_burtoni;Spectacled-Finch;Callacanthis_burtoni;PASSERIFORMES;resident;resident;0;167,0989674
Callaeas_cinereus;Kokako;Callaeas_wilsoni;North-Island-Kokako;Callaeas_cinereus;PASSERIFORMES;resident;resident;0;47,61690053
Callipepla_californica;California-Quail;Callipepla_californica;California-Quail;Callipepla_californica;GALLIFORMES;resident;resident;0;324,3185228
Callipepla_douglasii;Elegant-Quail;Callipepla_douglasii;Elegant-Quail;Callipepla_douglasii;GALLIFORMES;resident;resident;0;112,0201032
Callipepla_gambelii;Gambels-Quail;Callipepla_gambelii;Gambels-Quail;Callipepla_gambelii;GALLIFORMES;resident;resident;0;239,9157127
Callipepla_squamata;Scaled-Quail;Callipepla_squamata;Scaled-Quail;Callipepla_squamata;GALLIFORMES;resident;resident;0;307,7665163
Calliphlox_amethystina;Amethyst-Woodstar;Calliphlox_amethystina;Amethyst-Woodstar;Calliphlox_amethystina;CAPRIMULGIFORMES;resident;resident;0;786,3547431
Calliphlox_bryantae;Magenta-throated-Woodstar;Calliphlox_bryantae;Magenta-throated-Woodstar;Calliphlox_bryantae;CAPRIMULGIFORMES;resident;resident;0;51,96173543
Calliphlox_evelynae;Bahama-Woodstar;Calliphlox_evelynae;Bahama-Woodstar;Calliphlox_evelynae;CAPRIMULGIFORMES;resident;resident;0;115,8127444
Calliphlox_mitchellii;Purple-throated-Woodstar;Calliphlox_mitchellii;Purple-throated-Woodstar;Calliphlox_mitchellii;CAPRIMULGIFORMES;resident;resident;0;99,77570812
Callocephalon_fimbriatum;Gang-gang-Cockatoo;Callocephalon_fimbriatum;Gang-gang-Cockatoo;Callocephalon_fimbriatum;PSITTACIFORMES;resident;resident;0;157,8848064
Callonetta_leucophrys;Ringed-Teal;Callonetta_leucophrys;Ringed-Teal;Callonetta_leucophrys;ANSERIFORMES;resident;resident;0;311,7799437
Calochaetes_coccineus;Vermilion-Tanager;Calochaetes_coccineus;Vermilion-Tanager;Calochaetes_coccineus;PASSERIFORMES;resident;resident;0;148,7339827
Calocitta_colliei;Black-throated-Magpie-jay;Calocitta_colliei;Black-throated-Magpie-jay;Calocitta_colliei;PASSERIFORMES;resident;resident;0;121,5125094
Calocitta_formosa;White-throated-Magpie-jay;Calocitta_formosa;White-throated-Magpie-jay;Calocitta_formosa;PASSERIFORMES;resident;resident;0;212,4913833
Caloenas_nicobarica;Nicobar-Pigeon;Caloenas_nicobarica;Nicobar-Pigeon;Caloenas_nicobarica;COLUMBIFORMES;resident;resident;0;691,5369901
Calonectris_diomedea;Corys-Shearwater;Calonectris_diomedea;Scopolis-Shearwater;Calonectris_diomedea;PROCELLARIIFORMES;strict_mig;long;3354,569969;3354,569969
Calonectris_edwardsii;Cape-Verde-Shearwater;Calonectris_edwardsii;Cape-Verde-Shearwater;Calonectris_edwardsii;PROCELLARIIFORMES;strict_mig;long;2033,153217;2033,153217
Calonectris_leucomelas;Streaked-Shearwater;Calonectris_leucomelas;Streaked-Shearwater;Calonectris_leucomelas;PROCELLARIIFORMES;strict_mig;variable;1481,506681;1481,506681
Caloperdix_oculeus;Ferruginous-Partridge;Caloperdix_oculeus;Ferruginous-Partridge;Caloperdix_oculeus;GALLIFORMES;resident;resident;0;307,3149391
Calorhamphus_fuliginosus;Brown-Barbet;Caloramphus_fuliginosus;Bornean-Brown-Barbet;Caloramphus_fuliginosus;PICIFORMES;resident;resident;0;223,4000206
Calothorax_lucifer;Lucifer-Hummingbird;Calothorax_lucifer;Lucifer-Hummingbird;Calothorax_lucifer;CAPRIMULGIFORMES;partial_mig;short;369,4546113;369,4546113
Calothorax_pulcher;Beautiful-Hummingbird;Calothorax_pulcher;Beautiful-Hummingbird;Calothorax_pulcher;CAPRIMULGIFORMES;resident;resident;0;65,61351951
Calypte_anna;Annas-Hummingbird;Calypte_anna;Annas-Hummingbird;Calypte_anna;CAPRIMULGIFORMES;partial_mig;short;435,4683366;435,4683366
Calypte_costae;Costas-Hummingbird;Calypte_costae;Costas-Hummingbird;Calypte_costae;CAPRIMULGIFORMES;partial_mig;short;328,1336097;328,1336097
Calyptocichla_serina;Golden-Greenbul;Calyptocichla_serina;Golden-Greenbul;Calyptocichla_serina;PASSERIFORMES;resident;resident;0;389,3596809
Calyptomena_hosii;Hoses-Broadbill;Calyptomena_hosii;Hoses-Broadbill;Calyptomena_hosii;PASSERIFORMES;resident;resident;0;118,2966119
Calyptomena_viridis;Asian-Green-Broadbill;Calyptomena_viridis;Green-Broadbill;Calyptomena_viridis;PASSERIFORMES;resident;resident;0;382,1283196
Calyptomena_whiteheadi;Whiteheads-Broadbill;Calyptomena_whiteheadi;Whiteheads-Broadbill;Calyptomena_whiteheadi;PASSERIFORMES;resident;resident;0;107,647248
Calyptophilus_frugivorus;Chat-Tanager;Calyptophilus_frugivorus;Eastern-Chat-tanager;Calyptophilus_frugivorus;PASSERIFORMES;resident;resident;0;39,75383984
Calyptophilus_tertius;Western-Chat-Tanager;Calyptophilus_tertius;Western-Chat-tanager;NA1;PASSERIFORMES;resident;resident;NA;NA
Calyptorhynchus_banksii;Red-tailed-Black-cockatoo;Calyptorhynchus_banksii;Red-tailed-Black-cockatoo;Calyptorhynchus_banksii;PSITTACIFORMES;resident;resident;0;598,9933043
Calyptorhynchus_baudinii;Baudinâs-Black-Cockatoo;Zanda_baudinii;Long-billed-Black-cockatoo;Zanda_baudinii;PSITTACIFORMES;partial_mig;short;63,39792126;63,39792126
Calyptorhynchus_funereus;Yellow-tailed-Black-cockatoo;Zanda_funerea;Yellow-tailed-Black-cockatoo;Zanda_funerea;PSITTACIFORMES;resident;resident;0;326,4271262
Calyptorhynchus_lathami;Glossy-Black-cockatoo;Calyptorhynchus_lathami;Glossy-Black-cockatoo;Calyptorhynchus_lathami;PSITTACIFORMES;resident;resident;0;224,8116387
